index,ID_Two,Address,City,Latitude,Longitude,Price,Restaurant,Pizza_Type
131,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Black Olives
132,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Pineapple
133,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Sausage
134,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Green Peppers
135,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,White Pizza
136,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Anchovies
137,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza with Mushrooms
138,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza With Onions
139,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Stuffed Spinach Pizza
140,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Regular Cheese Pizza Pie
141,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Salad Pizza
142,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Chicken & Tomato Pizza
143,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Fresh Mozzarella Marinara Pizza
144,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Broccoli White Pizza
145,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Lasagna Pizza
146,AVwcz6KlByjofQCxicXH,4914 30th Ave,Woodside,40.760309,-73.907433,40.0,Mama Carmelas Pizza,Spinach White Pizza
147,AVweaRbG_7pvs4fzCuk4,346 S Santa Fe Ave,Edmond,35.651610999999995,-97.512964,25.0,Stars Stripes Pizza,Large Specialty Calzone and Large Specialty Pizza
148,AVweaRbG_7pvs4fzCuk4,346 S Santa Fe Ave,Edmond,35.651610999999995,-97.512964,25.0,Stars Stripes Pizza,Two Large Single Topping Pizzas
149,AVweaRbG_7pvs4fzCuk4,346 S Santa Fe Ave,Edmond,35.651610999999995,-97.512964,25.0,Stars Stripes Pizza,Large Single Topping and Large Specialty Pizza
150,AV5Poksna4HuVbedB_Ia,181 E Broadway,New York,40.714197,-73.989389,25.0,East Broadway Pizza,Sicilian Pizza
151,AVzA2PtuLD2H7whiWF8-,607 Merrick Rd,Rockville Centre,40.654078000000005,-73.630974,25.0,Bonbinos Pizzeria,Regular 2 Topping Pizza
